,accommodates,bathrooms,bedrooms,beds,guests_included,availability_30,number_of_reviews,number_of_reviews_ltm,review_scores_cleanliness,review_scores_location,reviews_per_month,price,has_availability,host_response_rate,instant_bookable,cancellation_policy,security_deposit,host_is_superhost,host_name,host_location,host_neighbourhood,property_type,neighbourhood,host_verifications,host_response_time,room_type,extra_people,zipcode
0,4,1.0,1.0,1.0,2,11,0,0,10.0,10.0,1.46,80.0,0,1,1,3,0,0,238,125,31,1,1,124,2,0,8,59
1,3,1.0,1.0,1.0,2,12,3,1,10.0,8.0,0.03,75.0,0,1,1,3,0,0,238,125,31,1,1,124,2,0,0,59
2,6,1.5,2.0,2.0,4,23,0,0,10.0,10.0,1.46,135.0,0,1,1,3,0,0,238,125,31,1,7,124,2,0,8,59
3,6,1.0,2.0,2.0,4,20,2,0,10.0,8.0,0.02,120.0,0,1,1,3,0,0,238,125,31,1,7,124,2,0,8,59
4,6,2.0,3.0,5.0,2,4,347,16,10.0,9.0,3.04,51.0,0,1,1,3,57,0,34,415,2,1,0,31,3,0,17,49
5,5,2.0,2.0,5.0,1,18,25,6,10.0,10.0,0.3,200.0,0,1,1,4,46,0,403,125,32,1,1,130,3,0,0,24
6,2,1.0,1.0,1.0,1,3,114,14,10.0,10.0,1.01,70.0,0,1,1,3,0,0,1920,126,32,19,1,19,3,1,0,24
7,2,1.0,1.0,1.0,1,29,15,1,10.0,10.0,0.14,75.0,0,1,1,0,0,0,1148,125,12,1,2,50,3,2,20,30
8,4,2.0,2.0,4.0,1,14,16,7,10.0,9.0,0.14,89.0,0,1,1,4,21,1,338,126,39,1,13,124,2,0,0,26
9,2,1.0,1.0,1.0,2,4,494,41,10.0,10.0,4.44,80.0,0,1,1,3,0,1,617,125,39,2,13,55,3,1,0,26
10,2,0.0,1.0,2.0,2,24,49,1,9.0,10.0,0.44,65.0,0,1,0,4,0,0,1123,125,32,2,8,30,1,2,8,24
